#GPU, mean, median
#A100-SXM4-40GB 7xShare, 1231, 1260
#A100-SXM4-40GB MIG 1g.5gb, 1441, 1404
#A100-SXM4-40GB MIG 2g.10gb, 1084, 1008
#A100-SXM4-40GB MIG 3g.20gb, 1035, 972
#A100-SXM4-40GB MIG 7g.40gb, 952, 900
#Tesla T4, 912, 900
#Tesla T4 3xShare, 1606, 1728
#Tesla V100-SXM2-16GB, 1011, 972
#Tesla V100-SXM2-16GB 3xShare, 1435, 1476
#GPU, walltime
A100-SXM4-40GB 7xShare, 1296
A100-SXM4-40GB 7xShare, 1260
A100-SXM4-40GB 7xShare, 1224
A100-SXM4-40GB 7xShare, 1224
A100-SXM4-40GB 7xShare, 972
A100-SXM4-40GB 7xShare, 1080
A100-SXM4-40GB 7xShare, 1152
A100-SXM4-40GB 7xShare, 1368
A100-SXM4-40GB 7xShare, 1224
A100-SXM4-40GB 7xShare, 1116
A100-SXM4-40GB 7xShare, 1044
A100-SXM4-40GB 7xShare, 1008
A100-SXM4-40GB 7xShare, 936
A100-SXM4-40GB 7xShare, 936
A100-SXM4-40GB 7xShare, 1008
A100-SXM4-40GB 7xShare, 1260
A100-SXM4-40GB 7xShare, 936
A100-SXM4-40GB 7xShare, 1152
A100-SXM4-40GB 7xShare, 972
A100-SXM4-40GB 7xShare, 936
A100-SXM4-40GB 7xShare, 1188
A100-SXM4-40GB 7xShare, 1224
A100-SXM4-40GB 7xShare, 1260
A100-SXM4-40GB 7xShare, 1116
A100-SXM4-40GB 7xShare, 1116
A100-SXM4-40GB 7xShare, 1080
A100-SXM4-40GB 7xShare, 1188
A100-SXM4-40GB 7xShare, 1296
A100-SXM4-40GB 7xShare, 1188
A100-SXM4-40GB 7xShare, 1080
A100-SXM4-40GB 7xShare, 1260
A100-SXM4-40GB 7xShare, 1188
A100-SXM4-40GB 7xShare, 1224
A100-SXM4-40GB 7xShare, 1296
A100-SXM4-40GB 7xShare, 1260
A100-SXM4-40GB 7xShare, 1044
A100-SXM4-40GB 7xShare, 1080
A100-SXM4-40GB 7xShare, 1080
A100-SXM4-40GB 7xShare, 1152
A100-SXM4-40GB 7xShare, 1116
A100-SXM4-40GB 7xShare, 1116
A100-SXM4-40GB 7xShare, 1224
