jobid, request_cpu, used_cpu, gpu type, gpu id, gpu memory, host, walltime (s), completion date
4775cf646d8111ec83fa141877284d92, 2, 1.22, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, , slot1_1@glidein_302_429177775@osg-wn-61f12860-000016-j4ktl, 1404, 2022-02-09T20:40:36.140229
47aeabfe6d8111ec83fa141877284d92, 2, 1.25, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/13/0, , slot1_1@glidein_352_733968540@osg-wn-61f12860-000013-cm7wc, 1188, 2022-02-09T20:27:06.683658
47e264626d8111ec934d141877284d92, 2, 1.19, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, , slot1_1@glidein_299_41758333@osg-wn-61f12860-000015-6mdq9, 1548, 2022-02-09T20:35:02.385644
4812415a6d8111eca422141877284d92, 2, 1.31, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/9/0, , slot1_1@glidein_294_904365280@osg-wn-61f12860-000017-ldvhh, 1620, 2022-02-09T20:57:26.262809
484cb9346d8111eca422141877284d92, 2, 1.26, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/13/0, , slot1_1@glidein_352_733968540@osg-wn-61f12860-000013-cm7wc, 1368, 2022-02-09T20:48:58.274446
488927346d8111eca422141877284d92, 2, 1.28, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, , slot1_1@glidein_302_429177775@osg-wn-61f12860-000016-j4ktl, 1224, 2022-02-09T21:00:16.175234
48bfcc3a6d8111eca422141877284d92, 2, 1.23, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, , slot1_1@glidein_299_41758333@osg-wn-61f12860-000015-6mdq9, 1368, 2022-02-09T21:19:40.320544
48f49a3c6d8111ec83fa141877284d92, 2, 1.28, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/13/0, , slot1_1@glidein_352_733968540@osg-wn-61f12860-000013-cm7wc, 1512, 2022-02-09T21:14:08.539106
492125706d8111ec83fa141877284d92, 2, 1.25, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/11/0, , slot1_1@glidein_297_81345004@osg-wn-61f12860-000018-8qhtb, 1476, 2022-02-09T20:57:26.383726
495c12526d8111ec83fa141877284d92, 2, 1.26, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, , slot1_1@glidein_299_41758333@osg-wn-61f12860-000015-6mdq9, 1260, 2022-02-09T20:57:26.319794
