#GPU, mean, median
#A100-SXM4-40GB 7xShare, 1730, 1728
#A100-SXM4-40GB MIG 1g.5gb, 1769, 1764
#A100-SXM4-40GB MIG 2g.10gb, 1624, 1620
#A100-SXM4-40GB MIG 3g.20gb, 1488, 1476
#A100-SXM4-40GB MIG 7g.40gb, 1342, 1332
#Tesla T4, 1500, 1494
#Tesla T4 3xShare, 1762, 1800
#Tesla V100-SXM2-16GB, 1501, 1476
#Tesla V100-SXM2-16GB 3xShare, 1718, 1728
#GPU, walltime
A100-SXM4-40GB 7xShare, 1836
A100-SXM4-40GB 7xShare, 1800
A100-SXM4-40GB 7xShare, 1656
A100-SXM4-40GB 7xShare, 1800
A100-SXM4-40GB 7xShare, 2124
A100-SXM4-40GB 7xShare, 1836
A100-SXM4-40GB 7xShare, 1512
A100-SXM4-40GB 7xShare, 1800
A100-SXM4-40GB 7xShare, 1584
A100-SXM4-40GB 7xShare, 1764
A100-SXM4-40GB 7xShare, 1764
A100-SXM4-40GB 7xShare, 1620
A100-SXM4-40GB 7xShare, 1584
A100-SXM4-40GB 7xShare, 1836
A100-SXM4-40GB 7xShare, 2016
A100-SXM4-40GB 7xShare, 2052
A100-SXM4-40GB 7xShare, 1980
A100-SXM4-40GB 7xShare, 1944
A100-SXM4-40GB 7xShare, 1692
A100-SXM4-40GB 7xShare, 1692
A100-SXM4-40GB 7xShare, 1656
A100-SXM4-40GB 7xShare, 1800
A100-SXM4-40GB 7xShare, 1656
A100-SXM4-40GB 7xShare, 1836
A100-SXM4-40GB 7xShare, 1944
A100-SXM4-40GB 7xShare, 1800
A100-SXM4-40GB 7xShare, 1764
A100-SXM4-40GB 7xShare, 1800
A100-SXM4-40GB 7xShare, 1656
A100-SXM4-40GB 7xShare, 1728
A100-SXM4-40GB 7xShare, 1584
A100-SXM4-40GB 7xShare, 1872
A100-SXM4-40GB 7xShare, 1836
A100-SXM4-40GB 7xShare, 1728
A100-SXM4-40GB 7xShare, 1692
