#GPU, mean, median
#A100-SXM4-40GB 4xShare, 1010, 1008
#A100-SXM4-40GB 7xShare, 1238, 1260
#A100-SXM4-40GB MIG 1g.5gb, 1403, 1404
#A100-SXM4-40GB MIG 2g.10gb, 995, 1008
#A100-SXM4-40GB MIG 3g.20gb, 946, 936
#A100-SXM4-40GB MIG 7g.40gb, 852, 864
#Tesla T4, 919, 900
#Tesla T4 2xShare, 1478, 1404
#Tesla T4 3xShare, 1428, 1512
#Tesla V100-SXM2-16GB, 970, 936
#Tesla V100-SXM2-16GB 2xShare, 1108, 1116
#Tesla V100-SXM2-16GB 3xShare, 1313, 1296
#GPU, walltime
A100-SXM4-40GB 4xShare, 900
A100-SXM4-40GB 4xShare, 1008
A100-SXM4-40GB 4xShare, 1080
A100-SXM4-40GB 4xShare, 936
A100-SXM4-40GB 4xShare, 972
A100-SXM4-40GB 4xShare, 972
A100-SXM4-40GB 4xShare, 936
A100-SXM4-40GB 4xShare, 1008
A100-SXM4-40GB 4xShare, 1008
A100-SXM4-40GB 4xShare, 1116
A100-SXM4-40GB 4xShare, 936
A100-SXM4-40GB 4xShare, 936
A100-SXM4-40GB 4xShare, 1080
A100-SXM4-40GB 4xShare, 972
A100-SXM4-40GB 4xShare, 1008
A100-SXM4-40GB 4xShare, 1080
A100-SXM4-40GB 4xShare, 972
A100-SXM4-40GB 4xShare, 1044
A100-SXM4-40GB 4xShare, 936
A100-SXM4-40GB 4xShare, 1044
A100-SXM4-40GB 4xShare, 972
A100-SXM4-40GB 4xShare, 936
A100-SXM4-40GB 4xShare, 936
A100-SXM4-40GB 4xShare, 900
A100-SXM4-40GB 4xShare, 972
A100-SXM4-40GB 4xShare, 1044
A100-SXM4-40GB 4xShare, 1152
A100-SXM4-40GB 4xShare, 936
A100-SXM4-40GB 4xShare, 1008
A100-SXM4-40GB 4xShare, 1008
A100-SXM4-40GB 4xShare, 1080
A100-SXM4-40GB 4xShare, 1008
A100-SXM4-40GB 4xShare, 1008
A100-SXM4-40GB 4xShare, 1008
A100-SXM4-40GB 4xShare, 1152
A100-SXM4-40GB 4xShare, 1044
A100-SXM4-40GB 4xShare, 1152
A100-SXM4-40GB 4xShare, 1044
A100-SXM4-40GB 4xShare, 1008
A100-SXM4-40GB 4xShare, 1044
A100-SXM4-40GB 4xShare, 1080
A100-SXM4-40GB 4xShare, 936
A100-SXM4-40GB 4xShare, 972
A100-SXM4-40GB 4xShare, 1116
A100-SXM4-40GB 4xShare, 972
A100-SXM4-40GB 4xShare, 1044
A100-SXM4-40GB 4xShare, 1008
A100-SXM4-40GB 4xShare, 936
A100-SXM4-40GB 4xShare, 1008
A100-SXM4-40GB 4xShare, 1008
A100-SXM4-40GB 4xShare, 1008
A100-SXM4-40GB 4xShare, 1080
A100-SXM4-40GB 7xShare, 936
A100-SXM4-40GB 7xShare, 1116
A100-SXM4-40GB 7xShare, 1296
A100-SXM4-40GB 7xShare, 1152
A100-SXM4-40GB 7xShare, 1440
A100-SXM4-40GB 7xShare, 1476
A100-SXM4-40GB 7xShare, 1368
A100-SXM4-40GB 7xShare, 1440
A100-SXM4-40GB 7xShare, 1476
A100-SXM4-40GB 7xShare, 1440
A100-SXM4-40GB 7xShare, 1476
A100-SXM4-40GB 7xShare, 1044
A100-SXM4-40GB 7xShare, 1152
A100-SXM4-40GB 7xShare, 1548
A100-SXM4-40GB 7xShare, 1548
A100-SXM4-40GB 7xShare, 1296
A100-SXM4-40GB 7xShare, 1512
A100-SXM4-40GB 7xShare, 1008
A100-SXM4-40GB 7xShare, 1188
A100-SXM4-40GB 7xShare, 1512
A100-SXM4-40GB 7xShare, 1296
A100-SXM4-40GB 7xShare, 1224
A100-SXM4-40GB 7xShare, 1116
A100-SXM4-40GB 7xShare, 1044
A100-SXM4-40GB 7xShare, 1008
A100-SXM4-40GB 7xShare, 1476
A100-SXM4-40GB 7xShare, 1008
A100-SXM4-40GB 7xShare, 936
A100-SXM4-40GB 7xShare, 1008
A100-SXM4-40GB 7xShare, 1440
A100-SXM4-40GB 7xShare, 1260
A100-SXM4-40GB 7xShare, 1404
A100-SXM4-40GB 7xShare, 1044
A100-SXM4-40GB 7xShare, 1080
A100-SXM4-40GB 7xShare, 1044
A100-SXM4-40GB 7xShare, 1404
A100-SXM4-40GB 7xShare, 1476
A100-SXM4-40GB 7xShare, 1224
A100-SXM4-40GB 7xShare, 1008
A100-SXM4-40GB 7xShare, 1224
A100-SXM4-40GB 7xShare, 1080
A100-SXM4-40GB 7xShare, 1188
A100-SXM4-40GB 7xShare, 972
A100-SXM4-40GB 7xShare, 1080
A100-SXM4-40GB 7xShare, 1080
A100-SXM4-40GB 7xShare, 1008
A100-SXM4-40GB 7xShare, 1368
A100-SXM4-40GB 7xShare, 1080
A100-SXM4-40GB 7xShare, 1152
A100-SXM4-40GB 7xShare, 1368
A100-SXM4-40GB 7xShare, 1080
A100-SXM4-40GB 7xShare, 1296
A100-SXM4-40GB 7xShare, 1188
A100-SXM4-40GB 7xShare, 1404
A100-SXM4-40GB 7xShare, 1296
A100-SXM4-40GB 7xShare, 1404
A100-SXM4-40GB 7xShare, 1044
A100-SXM4-40GB 7xShare, 972
A100-SXM4-40GB 7xShare, 1080
A100-SXM4-40GB 7xShare, 1296
A100-SXM4-40GB 7xShare, 1008
A100-SXM4-40GB 7xShare, 1188
A100-SXM4-40GB 7xShare, 1332
A100-SXM4-40GB 7xShare, 1152
A100-SXM4-40GB 7xShare, 1044
A100-SXM4-40GB 7xShare, 1080
A100-SXM4-40GB 7xShare, 1080
A100-SXM4-40GB 7xShare, 1116
A100-SXM4-40GB 7xShare, 1008
A100-SXM4-40GB 7xShare, 1224
A100-SXM4-40GB 7xShare, 1440
A100-SXM4-40GB 7xShare, 1080
A100-SXM4-40GB 7xShare, 1368
A100-SXM4-40GB 7xShare, 1116
A100-SXM4-40GB 7xShare, 936
A100-SXM4-40GB 7xShare, 1224
A100-SXM4-40GB 7xShare, 1116
A100-SXM4-40GB 7xShare, 1368
A100-SXM4-40GB 7xShare, 1332
A100-SXM4-40GB 7xShare, 1116
A100-SXM4-40GB 7xShare, 1548
A100-SXM4-40GB 7xShare, 1476
A100-SXM4-40GB 7xShare, 1476
A100-SXM4-40GB 7xShare, 1476
A100-SXM4-40GB 7xShare, 1332
A100-SXM4-40GB 7xShare, 1116
A100-SXM4-40GB 7xShare, 1260
A100-SXM4-40GB 7xShare, 1116
A100-SXM4-40GB 7xShare, 900
A100-SXM4-40GB 7xShare, 1260
A100-SXM4-40GB 7xShare, 1332
A100-SXM4-40GB 7xShare, 1044
A100-SXM4-40GB 7xShare, 1332
A100-SXM4-40GB 7xShare, 1080
A100-SXM4-40GB 7xShare, 1008
A100-SXM4-40GB 7xShare, 1008
A100-SXM4-40GB 7xShare, 1260
A100-SXM4-40GB 7xShare, 1008
A100-SXM4-40GB 7xShare, 1044
A100-SXM4-40GB 7xShare, 936
A100-SXM4-40GB 7xShare, 972
A100-SXM4-40GB 7xShare, 1008
A100-SXM4-40GB 7xShare, 1152
A100-SXM4-40GB 7xShare, 1260
A100-SXM4-40GB 7xShare, 1188
A100-SXM4-40GB 7xShare, 972
A100-SXM4-40GB 7xShare, 1080
A100-SXM4-40GB 7xShare, 936
A100-SXM4-40GB 7xShare, 936
A100-SXM4-40GB 7xShare, 936
A100-SXM4-40GB 7xShare, 936
A100-SXM4-40GB 7xShare, 1152
A100-SXM4-40GB 7xShare, 1044
A100-SXM4-40GB 7xShare, 1008
