#GPU, mean, median
#A100-SXM4-40GB MIG 1g.5gb pa100m7, 1393, 1404
#A100-SXM4-40GB MIG 2g.10gb pa100m3, 970, 972
#A100-SXM4-40GB MIG 3g.20gb pa100m2, 908, 900
#A100-SXM4-40GB MIG 7g.40gb pa100m1, 825, 828
#A100-SXM4-40GB pa100, 852, 864
#A100-SXM4-40GB pa100t2, 874, 864
#A100-SXM4-40GB pa100t3, 927, 936
#A100-SXM4-40GB pa100t4, 976, 972
#A100-SXM4-40GB pa100t7, 1211, 1188
#NVIDIA A100-PCIE-40GB prp, 576, 576
#NVIDIA A40 prp, 537, 540
#NVIDIA GeForce GTX 1070 prp, 1040, 1008
#NVIDIA GeForce GTX 1080 Ti prp, 840, 792
#NVIDIA GeForce GTX 1080 prp, 758, 756
#NVIDIA GeForce RTX 2080 Ti prp, 784, 756
#NVIDIA GeForce RTX 3090 prp, 628, 648
#NVIDIA TITAN RTX prp, 694, 612
#Tesla T4 prp, 963, 900
#Tesla T4 pt4, 865, 864
#Tesla T4 pt4t2, 1142, 1152
#Tesla V100-SXM2-16GB pv100, 878, 864
#Tesla V100-SXM2-16GB pv100t2, 1064, 1080
#Tesla V100-SXM2-32GB prp, 609, 612
#GPU, walltime
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1332
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1440
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1296
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1404
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1440
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1512
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1404
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1296
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1512
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1404
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1224
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1440
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1548
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1332
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1476
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1368
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1476
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1368
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1512
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1260
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1440
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1548
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1260
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1260
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1512
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1224
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1440
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1224
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1332
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1224
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1224
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1512
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1404
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1296
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1512
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1368
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1368
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1404
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1512
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1368
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1440
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1368
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1620
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1224
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1512
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1332
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1332
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1404
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1332
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1368
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1476
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1260
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1368
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1332
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1260
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1260
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1512
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1368
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1476
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1260
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1548
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1404
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1512
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1224
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1224
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1368
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1260
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1224
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1332
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1224
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1404
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1404
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1368
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1584
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1260
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1476
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1368
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1476
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1440
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1368
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1620
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1440
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1548
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1548
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1548
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1440
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1512
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1332
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1260
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1476
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1332
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1260
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1296
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1440
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1404
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1332
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1224
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1440
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1440
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1260
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1548
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1476
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1584
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1260
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1368
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1332
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1440
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1548
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1332
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1584
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1332
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1188
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1260
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1440
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1584
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1404
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1476
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1260
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1404
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1620
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1368
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1404
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1476
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1440
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1404
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1440
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1260
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1512
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1224
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1260
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1476
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1404
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1620
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1224
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1584
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1656
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1404
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1404
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1512
A100-SXM4-40GB MIG 1g.5gb pa100m7, 1548
