#GPU, mean, median
#A100-SXM4-40GB MIG 1g.5gb pa100m7, 26133, 26136
#A100-SXM4-40GB MIG 2g.10gb pa100m3, 13206, 13212
#A100-SXM4-40GB MIG 3g.20gb pa100m2, 8926, 8928
#A100-SXM4-40GB MIG 7g.40gb pa100m1, 7248, 7235
#A100-SXM4-40GB pa100t4, 15365, 15371
#A100-SXM4-40GB pa100t7, 26781, 26730
#NVIDIA A100-PCIE-40GB prp, 4456, 4500
#NVIDIA A40 prp, 4074, 3996
#NVIDIA GeForce GTX 1080 Ti prp, 8868, 8838
#NVIDIA GeForce GTX 1080 prp, 12383, 12348
#NVIDIA GeForce RTX 2080 Ti prp, 6409, 6300
#NVIDIA GeForce RTX 3090 prp, 4900, 5004
#NVIDIA TITAN RTX prp, 8557, 6624
#NVIDIA TITAN Xp prp, 8180, 8172
#Tesla T4 prp, 11364, 11340
#Tesla T4 pt4, 11472, 11430
#Tesla T4 pt4t2, 24612, 24606
#Tesla V100-SXM2-16GB pv100, 7855, 7848
#Tesla V100-SXM2-16GB pv100t2, 14077, 14220
#Tesla V100-SXM2-32GB prp, 6244, 6228
#GPU, walltime
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26208
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26208
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26028
A100-SXM4-40GB MIG 1g.5gb pa100m7, 25812
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26100
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26064
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26280
A100-SXM4-40GB MIG 1g.5gb pa100m7, 25992
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26352
A100-SXM4-40GB MIG 1g.5gb pa100m7, 25956
A100-SXM4-40GB MIG 1g.5gb pa100m7, 25848
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26244
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26172
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26244
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26352
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26136
A100-SXM4-40GB MIG 1g.5gb pa100m7, 25992
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26100
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26028
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26388
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26028
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26136
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26136
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26136
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26244
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26244
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26280
A100-SXM4-40GB MIG 1g.5gb pa100m7, 26028
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13212
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13212
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13176
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13284
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13068
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13248
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13284
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13176
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13176
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13140
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13212
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13356
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13284
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13212
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13212
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13248
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13140
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13212
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13248
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13140
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13176
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13176
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13320
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13140
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13212
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13068
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13212
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13248
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13176
A100-SXM4-40GB MIG 2g.10gb pa100m3, 13212
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8964
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8892
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8892
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8892
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8856
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8892
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8784
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8856
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8892
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8928
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8892
A100-SXM4-40GB MIG 3g.20gb pa100m2, 8856
