jobid, gpu type, walltime (s)
4775cf646d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
47aeabfe6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1188
47e264626d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1548
4812415a6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1620
484cb9346d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
488927346d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
48bfcc3a6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
48f49a3c6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1512
492125706d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
495c12526d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1260
498d73106d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1296
49c07c926d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
49f3a0186d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
4a239b9c6d8111ecb423141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
4a5af4e86d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
4a91c3e26d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
4ac3254a6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
4af3a85a6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1188
4b2790346d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
4b5895bc6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
4b8d0cca6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
4bbee7546d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1260
4befa48e6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
