Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State       PID/Program name    
tcp        0      0 127.0.0.1:25            0.0.0.0:*               LISTEN      2068/master         
tcp        0      0 0.0.0.0:8516            0.0.0.0:*               LISTEN      2483/condor_schedd  
tcp        0      0 0.0.0.0:31949           0.0.0.0:*               LISTEN      2481/condor_collect 
tcp        0      0 0.0.0.0:1647            0.0.0.0:*               LISTEN      2483/condor_schedd  
tcp        0      0 0.0.0.0:111             0.0.0.0:*               LISTEN      1/systemd           
tcp        0      0 0.0.0.0:31696           0.0.0.0:*               LISTEN      2481/condor_collect 
tcp        0      0 0.0.0.0:9618            0.0.0.0:*               LISTEN      2480/condor_shared_ 
tcp        0      0 0.0.0.0:22              0.0.0.0:*               LISTEN      2104/sshd           
tcp        0      0 172.31.16.161:9618      172.31.11.119:41186     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.7.194:38303      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.3.126:37367      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.71.213:41164     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.73.129:38461     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.79.170:39302     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.11.56:41393      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.2.227:38983      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.64.64:33262      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.8.189:34246      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.3.88:36547       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.14.217:41496     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.64.143:33520     ESTABLISHED 2481/condor_collect 
