GridFTP tests - fast with callback,,,,,,,,,,,,,
,,,,,,,,,,,,,
"In Seconds, lower is better",,,,,,,,,,,,,
,Server,,,,,,,,,,,,
Client,,AWS EU W1,AWS EU C1,Amsterdam,AWS US E1,Chicago,Kansas,San Diego,GCP US W1,Azure US W1,AWS US W2,AWS Korea,AWS Australia
,NewYork,91.2,88.3,17.9,9.5,9.1,8.7,,87.9,,11.9,,
,AWS US E1,19.2,19.1,,7.6,,,,,,,20.5,21.5
,San Diego,,,,11.9,11.3,8.3,7.7,12.9,9,10.8,18.8,43.5
,AWS US W2,25,20.4,,,,,,,,7.4,20,21.7
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"In Gbps, higher is better",,,,,,,,,,,,,
,Server,,,,,,,,,,,,
Client,,AWS EU W1,AWS EU C1,Amsterdam,AWS US E1,Chicago,Kansas,San Diego,GCP US W1,Azure US W1,AWS US W2,AWS Korea,AWS Australia
,NewYork,1.1,1.1,5.6,10.5,11,11.5,,1.1,,8.4,,
,AWS US E1,5.2,5.2,,13.2,,,,,,,4.9,4.7
,San Diego,,,,8.4,8.8,12,13,7.8,11.1,9.3,5.3,2.3
,AWS US W2,4,4.9,,,,,,,,13.5,5,4.6
