GridFTP tests - fast with callback,,,,,,,,,,,,,,,,,GridFTP tests - fast with callback,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In Seconds, lower is better",,,,,,,,,,,,,,,,,"In Gbps, higher is better",,,,,,,,,,,,,,
,Server,,,,,,,,,,,,,,,,,Server,,,,,,,,,,,,,
Client,,AWS EU W1,AWS EU C1,Amsterdam,AWS US E1,Chicago,Kansas,San Diego,GCP US W1,Azure US W1,AWS US W2,Korea,AWS Korea,AWS Australia,,,Client,,AWS EU W1,AWS EU C1,Amsterdam,AWS US E1,Chicago,Kansas,San Diego,GCP US W1,Azure US W1,AWS US W2,Korea,AWS Korea,AWS Australia
,AWS EU C1,17.4,7.5,,19.6,,,,,,,,27.4,27.1,,,,AWS EU C1,5.7,13,,5.1,,,,,,,,3.6,3.7
,Amsterdam,10.9,9.5,,12.8,12.7,,12.6,,,,19.1,,,,,,Amsterdam,9.2,11,,7.8,7.9,,7.9,,,,5.2,,
,NewYork,91.2,88.3,17.9,9.5,9.1,8.7,,87.9,,11.9,14.8,,,,,,NewYork,1.1,1.1,5.6,11,11,11,,1.1,,8.4,6.8,,
,AWS US E1,19.2,19.1,,7.1,,,,,,,,20.5,21.5,,,,AWS US E1,5.2,5.2,,14,,,,,,,,4.9,4.7
,San Diego,,,16,11.9,11.3,8.3,7.7,12.9,9,10.8,14.3,18.8,43.5,,,,San Diego,,,6.3,8.4,8.8,12,13,7.8,11,9.3,7.0,5.3,2.3
,AWS US W2,25,20.4,,18.4,,,,,,7.9,,20,21.7,,,,AWS US W2,4.0,4.9,,5.4,,,,,,13,,5.0,4.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GridFTP tests - single threaded, multiple processes",,,,,,,,,,,,,,,,,"GridFTP tests - single threaded, multiple processes",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In Seconds, lower is better",,,,,,,,,,,,,,,,,"In Gbps, higher is better",,,,,,,,,,,,,,
,Server,,,,,,,,,,,,,,,,,Server,,,,,,,,,,,,,
Client,,AWS EU W1,AWS EU C1,Amsterdam,AWS US E1,Chicago,Kansas,San Diego,GCP US W1,Azure US W1,AWS US W2,Korea,AWS Korea,AWS Australia,,,Client,,AWS EU W1,AWS EU C1,Amsterdam,AWS US E1,Chicago,Kansas,San Diego,GCP US W1,Azure US W1,AWS US W2,Korea,AWS Korea,AWS Australia
,AWS EU C1,52.8,3.29,,52.7,,,,,,,,95.2,122,,,,AWS EU C1,1.9,30,,1.9,,,,,,,,1.1,0.8
,Amsterdam,10.7,10.5,,31.8,13.9,,12.5,,,,23.5,,,,,,Amsterdam,9.3,9.5,,3.1,7.2,,8.0,,,,4.3,,
,NewYork,92.3,91.8,29,9.7,7.3,,,93.3,,36.1,,,,,,,NewYork,1.1,1.1,3.4,10,14,,,1.1,,2.8,,,
,AWS US E1,,,,3.32,,,,,,,,,,,,,AWS US E1,,,,30,,,,,,,,,
,San Diego,,,21.6,25.5,11.4,,2.3,11.2,16.3,12.8,50.8,61.5,74.5,,,,San Diego,,,4.6,3.9,8.8,,43,8.9,6.1,7.8,2.0,1.6,1.3
,AWS US W2,,,,54.4,,,,,,3.3,,55.4,62.5,,,,AWS US W2,,,,1.8,,,,,,30,,1.8,1.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GridFTP tests - single threaded, single process",,,,,,,,,,,,,,,,,"GridFTP tests - single threaded, single process",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In Seconds, lower is better",,,,,,,,,,,,,,,,,"In Gbps, higher is better",,,,,,,,,,,,,,
,Server,,,,,,,,,,,,,,,,,Server,,,,,,,,,,,,,
Client,,AWS EU W1,AWS EU C1,Amsterdam,AWS US E1,Chicago,Kansas,San Diego,GCP US W1,Azure US W1,AWS US W2,Korea,AWS Korea,AWS Australia,,,Client,,AWS EU W1,AWS EU C1,Amsterdam,AWS US E1,Chicago,Kansas,San Diego,GCP US W1,Azure US W1,AWS US W2,Korea,AWS Korea,AWS Australia
,AWS EU C1,167,8.6,,566,,,,,,,,1810,1865,,,,AWS EU C1,0.60,12,,0.18,,,,,,,,0.06,0.05
,Amsterdam,153,46.7,,603,16.6,,194,,,,163,,,,,,Amsterdam,0.65,2.1,,0.17,6.0,,0.52,,,,0.6,,
,NewYork,674,588,83,44.9,9.1,,,231,,808,,,,,,,NewYork,0.15,0.17,1.2,2.2,11,,,0.43,,0.12,,,
,AWS US E1,,,,16.1,,,,,,,,,,,,,AWS US E1,,,,6.2,,,,,,,,,
,San Diego,,,21.6,463,12.6,,5.76,13.2,44.3,232,87.4,950,995,,,,San Diego,,,4.6,0.22,7.9,,17,7.6,2.3,0.43,1.1,0.11,0.10
,AWS US W2,,,,514,,,,,,16.2,,807,900,,,,AWS US W2,,,,0.19,,,,,,6.2,,0.12,0.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When testing gridftp servers that have multiple interfaces, picking the one that is faster fo the specific test",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
